"","","","Export Quantity Index (2014-2016 = 100) [495]","Export Quantity Index (2014-2016 = 100) [495]","Export Quantity Index (2014-2016 = 100) [495]","Export Unit/Value Index (2014-2016 = 100)","Export Unit/Value Index (2014-2016 = 100)","Export Unit/Value Index (2014-2016 = 100)","Export Value Base Price [95]","Export Value Base Price [95]","Export Value Base Price [95]","Export Value Base Quantity [94]","Export Value Base Quantity [94]","Export Value Base Quantity [94]","Export Value Index (2014-2016 = 100) [492]","Export Value Index (2014-2016 = 100) [492]","Export Value Index (2014-2016 = 100) [492]","Import Quantity Index (2014-2016 = 100) [465]","Import Quantity Index (2014-2016 = 100) [465]","Import Quantity Index (2014-2016 = 100) [465]","Import Unit/Value Index (2014-2016 = 100)","Import Unit/Value Index (2014-2016 = 100)","Import Unit/Value Index (2014-2016 = 100)","Import Value Base Period Price [65]","Import Value Base Period Price [65]","Import Value Base Period Price [65]","Import Value Base Period Quantity [64]","Import Value Base Period Quantity [64]","Import Value Base Period Quantity [64]","Import Value Index (2014-2016 = 100) [462]","Import Value Index (2014-2016 = 100) [462]","Import Value Index (2014-2016 = 100) [462]"
"","","","Unit","Value","Flag Description","Unit","Value","Flag Description","Unit","Value","Flag Description","Unit","Value","Flag Description","Unit","Value","Flag Description","Unit","Value","Flag Description","Unit","Value","Flag Description","Unit","Value","Flag Description","Unit","Value","Flag Description","Unit","Value","Flag Description"
"1990 [1990]","Meat, cattle [867]","Hungary [97]","index","304","Calculated data","index","51","Calculated data","1000 $","110051","Calculated data","1000 $","18373","Calculated data","index","155","Calculated data","index","38","Calculated data","index","28","Calculated data","1000 $","17325","Calculated data","1000 $","12695","Calculated data","index","10","Calculated data"
"1990 [1990]","Meat, cattle [867]","Ireland [104]","index","88","Calculated data","index","50","Calculated data","1000 $","1706663","Calculated data","1000 $","977585","Calculated data","index","45","Calculated data","index","43","Calculated data","index","72","Calculated data","1000 $","47577","Calculated data","1000 $","81369","Calculated data","index","31","Calculated data"
"1990 [1990]","Meat, chicken [1058]","Hungary [97]","index","100","Calculated data","index","43","Calculated data","1000 $","558710","Calculated data","1000 $","238479","Calculated data","index","43","Calculated data","index","2","Calculated data","index","51","Calculated data","1000 $","997","Calculated data","1000 $","30019","Calculated data","index","1","Calculated data"
"1990 [1990]","Meat, chicken [1058]","Ireland [104]","index","22","Calculated data","index","110","Calculated data","1000 $","21097","Calculated data","1000 $","109103","Calculated data","index","24","Calculated data","index","7","Calculated data","index","60","Calculated data","1000 $","23825","Calculated data","1000 $","211066","Calculated data","index","4","Calculated data"
"1990 [1990]","Meat, pig [1035]","Hungary [97]","index","132","Calculated data","index","55","Calculated data","1000 $","489006","Calculated data","1000 $","204559","Calculated data","index","73","Calculated data","index","2","Calculated data","index","95","Calculated data","1000 $","4495","Calculated data","1000 $","253733","Calculated data","index","2","Calculated data"
"1990 [1990]","Meat, pig [1035]","Ireland [104]","index","20","Calculated data","index","101","Calculated data","1000 $","91775","Calculated data","1000 $","467192","Calculated data","index","20","Calculated data","index","15","Calculated data","index","98","Calculated data","1000 $","18668","Calculated data","1000 $","122752","Calculated data","index","15","Calculated data"
"1990 [1990]","Meat, sheep [977]","Hungary [97]","index","834","Calculated data","index","69","Calculated data","1000 $","11764","Calculated data","1000 $","1065","Calculated data","index","629","Calculated data","","","","","","","","","","","","","","",""
"1990 [1990]","Meat, sheep [977]","Ireland [104]","index","125","Calculated data","index","55","Calculated data","1000 $","341079","Calculated data","1000 $","150612","Calculated data","index","69","Calculated data","index","4","Calculated data","index","64","Calculated data","1000 $","1054","Calculated data","1000 $","15444","Calculated data","index","3","Calculated data"
"1991 [1991]","Meat, cattle [867]","Hungary [97]","index","248","Calculated data","index","53","Calculated data","1000 $","89843","Calculated data","1000 $","19346","Calculated data","index","133","Calculated data","index","1","Calculated data","index","39","Calculated data","1000 $","233","Calculated data","1000 $","18149","Calculated data","index","0","Calculated data"
"1991 [1991]","Meat, cattle [867]","Ireland [104]","index","90","Calculated data","index","48","Calculated data","1000 $","1734877","Calculated data","1000 $","940560","Calculated data","index","44","Calculated data","index","64","Calculated data","index","66","Calculated data","1000 $","71906","Calculated data","1000 $","73831","Calculated data","index","43","Calculated data"
"1991 [1991]","Meat, chicken [1058]","Hungary [97]","index","61","Calculated data","index","65","Calculated data","1000 $","342389","Calculated data","1000 $","362597","Calculated data","index","40","Calculated data","index","0","Calculated data","index","8","Calculated data","1000 $","122","Calculated data","1000 $","4876","Calculated data","index","0","Calculated data"
"1991 [1991]","Meat, chicken [1058]","Ireland [104]","index","31","Calculated data","index","111","Calculated data","1000 $","30454","Calculated data","1000 $","110242","Calculated data","index","36","Calculated data","index","7","Calculated data","index","95","Calculated data","1000 $","23124","Calculated data","1000 $","334415","Calculated data","index","7","Calculated data"
"1991 [1991]","Meat, pig [1035]","Hungary [97]","index","137","Calculated data","index","59","Calculated data","1000 $","505874","Calculated data","1000 $","219186","Calculated data","index","81","Calculated data","index","0","Calculated data","index","32","Calculated data","1000 $","44","Calculated data","1000 $","84805","Calculated data","index","0","Calculated data"
"1991 [1991]","Meat, pig [1035]","Ireland [104]","index","28","Calculated data","index","95","Calculated data","1000 $","128141","Calculated data","1000 $","441317","Calculated data","index","27","Calculated data","index","17","Calculated data","index","92","Calculated data","1000 $","21170","Calculated data","1000 $","114616","Calculated data","index","15","Calculated data"
"1991 [1991]","Meat, sheep [977]","Hungary [97]","index","691","Calculated data","index","71","Calculated data","1000 $","9755","Calculated data","1000 $","1086","Calculated data","index","532","Calculated data","","","","","","","","","","","","","index","0","Calculated data"
"1991 [1991]","Meat, sheep [977]","Ireland [104]","index","137","Calculated data","index","56","Calculated data","1000 $","373397","Calculated data","1000 $","153007","Calculated data","index","77","Calculated data","index","3","Calculated data","index","61","Calculated data","1000 $","616","Calculated data","1000 $","14837","Calculated data","index","2","Calculated data"
"1992 [1992]","Meat, cattle [867]","Hungary [97]","index","230","Calculated data","index","58","Calculated data","1000 $","83340","Calculated data","1000 $","20956","Calculated data","index","133","Calculated data","index","67","Calculated data","index","27","Calculated data","1000 $","30991","Calculated data","1000 $","12639","Calculated data","index","19","Calculated data"
"1992 [1992]","Meat, cattle [867]","Ireland [104]","index","111","Calculated data","index","49","Calculated data","1000 $","2140303","Calculated data","1000 $","949885","Calculated data","index","54","Calculated data","index","37","Calculated data","index","80","Calculated data","1000 $","41756","Calculated data","1000 $","89385","Calculated data","index","30","Calculated data"
"1992 [1992]","Meat, chicken [1058]","Hungary [97]","index","36","Calculated data","index","87","Calculated data","1000 $","202082","Calculated data","1000 $","487420","Calculated data","index","32","Calculated data","index","1","Calculated data","index","49","Calculated data","1000 $","696","Calculated data","1000 $","29295","Calculated data","index","1","Calculated data"
"1992 [1992]","Meat, chicken [1058]","Ireland [104]","index","31","Calculated data","index","135","Calculated data","1000 $","29629","Calculated data","1000 $","133655","Calculated data","index","42","Calculated data","index","9","Calculated data","index","105","Calculated data","1000 $","32260","Calculated data","1000 $","370815","Calculated data","index","10","Calculated data"
"1992 [1992]","Meat, pig [1035]","Hungary [97]","index","41","Calculated data","index","90","Calculated data","1000 $","150025","Calculated data","1000 $","332112","Calculated data","index","36","Calculated data","index","5","Calculated data","index","66","Calculated data","1000 $","14136","Calculated data","1000 $","175754","Calculated data","index","4","Calculated data"
"1992 [1992]","Meat, pig [1035]","Ireland [104]","index","37","Calculated data","index","106","Calculated data","1000 $","170512","Calculated data","1000 $","490910","Calculated data","index","39","Calculated data","index","18","Calculated data","index","97","Calculated data","1000 $","22025","Calculated data","1000 $","121990","Calculated data","index","17","Calculated data"
"1992 [1992]","Meat, sheep [977]","Hungary [97]","index","820","Calculated data","index","72","Calculated data","1000 $","11571","Calculated data","1000 $","1106","Calculated data","index","643","Calculated data","index","1","Calculated data","index","165","Calculated data","1000 $","15","Calculated data","1000 $","2700","Calculated data","index","2","Calculated data"
"1992 [1992]","Meat, sheep [977]","Ireland [104]","index","142","Calculated data","index","54","Calculated data","1000 $","386789","Calculated data","1000 $","147971","Calculated data","index","77","Calculated data","index","7","Calculated data","index","61","Calculated data","1000 $","1596","Calculated data","1000 $","14715","Calculated data","index","4","Calculated data"
"1993 [1993]","Meat, cattle [867]","Hungary [97]","index","105","Calculated data","index","75","Calculated data","1000 $","37909","Calculated data","1000 $","27127","Calculated data","index","79","Calculated data","index","177","Calculated data","index","23","Calculated data","1000 $","81352","Calculated data","1000 $","10523","Calculated data","index","41","Calculated data"
"1993 [1993]","Meat, cattle [867]","Ireland [104]","index","107","Calculated data","index","51","Calculated data","1000 $","2077587","Calculated data","1000 $","996706","Calculated data","index","55","Calculated data","index","31","Calculated data","index","68","Calculated data","1000 $","34248","Calculated data","1000 $","75917","Calculated data","index","21","Calculated data"
"1993 [1993]","Meat, chicken [1058]","Hungary [97]","index","38","Calculated data","index","93","Calculated data","1000 $","211830","Calculated data","1000 $","521992","Calculated data","index","35","Calculated data","index","3","Calculated data","index","51","Calculated data","1000 $","1977","Calculated data","1000 $","30095","Calculated data","index","2","Calculated data"
"1993 [1993]","Meat, chicken [1058]","Ireland [104]","index","26","Calculated data","index","110","Calculated data","1000 $","25323","Calculated data","1000 $","109391","Calculated data","index","29","Calculated data","index","10","Calculated data","index","46","Calculated data","1000 $","32753","Calculated data","1000 $","163868","Calculated data","index","5","Calculated data"
"1993 [1993]","Meat, pig [1035]","Hungary [97]","index","33","Calculated data","index","73","Calculated data","1000 $","123336","Calculated data","1000 $","271876","Calculated data","index","25","Calculated data","index","14","Calculated data","index","56","Calculated data","1000 $","36624","Calculated data","1000 $","148267","Calculated data","index","8","Calculated data"
"1993 [1993]","Meat, pig [1035]","Ireland [104]","index","39","Calculated data","index","82","Calculated data","1000 $","178959","Calculated data","1000 $","381731","Calculated data","index","32","Calculated data","index","11","Calculated data","index","77","Calculated data","1000 $","14331","Calculated data","1000 $","96788","Calculated data","index","9","Calculated data"
"1993 [1993]","Meat, sheep [977]","Hungary [97]","index","912","Calculated data","index","56","Calculated data","1000 $","12866","Calculated data","1000 $","852","Calculated data","index","551","Calculated data","","","","","","","","","","","","","index","0","Calculated data"
"1993 [1993]","Meat, sheep [977]","Ireland [104]","index","147","Calculated data","index","47","Calculated data","1000 $","400443","Calculated data","1000 $","127615","Calculated data","index","69","Calculated data","index","2","Calculated data","index","49","Calculated data","1000 $","479","Calculated data","1000 $","11910","Calculated data","index","1","Calculated data"
"1994 [1994]","Meat, cattle [867]","Hungary [97]","index","107","Calculated data","index","85","Calculated data","1000 $","38777","Calculated data","1000 $","30767","Calculated data","index","91","Calculated data","index","276","Calculated data","index","32","Calculated data","1000 $","126990","Calculated data","1000 $","14828","Calculated data","index","89","Calculated data"
"1994 [1994]","Meat, cattle [867]","Ireland [104]","index","129","Calculated data","index","46","Calculated data","1000 $","2500723","Calculated data","1000 $","899269","Calculated data","index","60","Calculated data","index","71","Calculated data","index","66","Calculated data","1000 $","78917","Calculated data","1000 $","73993","Calculated data","index","47","Calculated data"
"1994 [1994]","Meat, chicken [1058]","Hungary [97]","index","41","Calculated data","index","102","Calculated data","1000 $","226608","Calculated data","1000 $","573616","Calculated data","index","42","Calculated data","index","2","Calculated data","index","68","Calculated data","1000 $","1051","Calculated data","1000 $","40595","Calculated data","index","1","Calculated data"
"1994 [1994]","Meat, chicken [1058]","Ireland [104]","index","34","Calculated data","index","110","Calculated data","1000 $","33161","Calculated data","1000 $","108892","Calculated data","index","38","Calculated data","index","16","Calculated data","index","39","Calculated data","1000 $","55143","Calculated data","1000 $","138652","Calculated data","index","6","Calculated data"
"1994 [1994]","Meat, pig [1035]","Hungary [97]","index","31","Calculated data","index","79","Calculated data","1000 $","114224","Calculated data","1000 $","293300","Calculated data","index","24","Calculated data","index","33","Calculated data","index","59","Calculated data","1000 $","88077","Calculated data","1000 $","156359","Calculated data","index","19","Calculated data"
"1994 [1994]","Meat, pig [1035]","Ireland [104]","index","42","Calculated data","index","79","Calculated data","1000 $","191322","Calculated data","1000 $","364946","Calculated data","index","33","Calculated data","index","10","Calculated data","index","85","Calculated data","1000 $","12426","Calculated data","1000 $","106176","Calculated data","index","8","Calculated data"
"1994 [1994]","Meat, sheep [977]","Hungary [97]","index","242","Calculated data","index","79","Calculated data","1000 $","3412","Calculated data","1000 $","1205","Calculated data","index","206","Calculated data","index","0","Calculated data","index","106","Calculated data","1000 $","7","Calculated data","1000 $","1728","Calculated data","index","1","Calculated data"
"1994 [1994]","Meat, sheep [977]","Ireland [104]","index","150","Calculated data","index","50","Calculated data","1000 $","408277","Calculated data","1000 $","135858","Calculated data","index","75","Calculated data","index","3","Calculated data","index","57","Calculated data","1000 $","678","Calculated data","1000 $","13786","Calculated data","index","2","Calculated data"
"1995 [1995]","Meat, cattle [867]","Hungary [97]","index","71","Calculated data","index","96","Calculated data","1000 $","25537","Calculated data","1000 $","34775","Calculated data","index","68","Calculated data","index","137","Calculated data","index","38","Calculated data","1000 $","62837","Calculated data","1000 $","17567","Calculated data","index","52","Calculated data"
"1995 [1995]","Meat, cattle [867]","Ireland [104]","index","132","Calculated data","index","48","Calculated data","1000 $","2547295","Calculated data","1000 $","938184","Calculated data","index","64","Calculated data","index","83","Calculated data","index","66","Calculated data","1000 $","93098","Calculated data","1000 $","74213","Calculated data","index","56","Calculated data"
"1995 [1995]","Meat, chicken [1058]","Hungary [97]","index","55","Calculated data","index","97","Calculated data","1000 $","305147","Calculated data","1000 $","540494","Calculated data","index","53","Calculated data","index","2","Calculated data","index","25","Calculated data","1000 $","1290","Calculated data","1000 $","15061","Calculated data","index","1","Calculated data"
"1995 [1995]","Meat, chicken [1058]","Ireland [104]","index","41","Calculated data","index","106","Calculated data","1000 $","39549","Calculated data","1000 $","105665","Calculated data","index","44","Calculated data","index","16","Calculated data","index","46","Calculated data","1000 $","53697","Calculated data","1000 $","162786","Calculated data","index","7","Calculated data"
"1995 [1995]","Meat, pig [1035]","Hungary [97]","index","40","Calculated data","index","84","Calculated data","1000 $","148239","Calculated data","1000 $","310515","Calculated data","index","34","Calculated data","index","26","Calculated data","index","64","Calculated data","1000 $","69204","Calculated data","1000 $","170840","Calculated data","index","17","Calculated data"
"1995 [1995]","Meat, pig [1035]","Ireland [104]","index","43","Calculated data","index","96","Calculated data","1000 $","200328","Calculated data","1000 $","445000","Calculated data","index","42","Calculated data","index","21","Calculated data","index","92","Calculated data","1000 $","25859","Calculated data","1000 $","115684","Calculated data","index","19","Calculated data"
"1995 [1995]","Meat, sheep [977]","Hungary [97]","index","167","Calculated data","index","80","Calculated data","1000 $","2357","Calculated data","1000 $","1224","Calculated data","index","145","Calculated data","index","64","Calculated data","index","27","Calculated data","1000 $","1013","Calculated data","1000 $","443","Calculated data","index","18","Calculated data"
"1995 [1995]","Meat, sheep [977]","Ireland [104]","index","112","Calculated data","index","50","Calculated data","1000 $","303554","Calculated data","1000 $","136292","Calculated data","index","56","Calculated data","index","9","Calculated data","index","49","Calculated data","1000 $","2234","Calculated data","1000 $","11928","Calculated data","index","5","Calculated data"
"1996 [1996]","Meat, cattle [867]","Hungary [97]","index","84","Calculated data","index","92","Calculated data","1000 $","30301","Calculated data","1000 $","33597","Calculated data","index","78","Calculated data","index","91","Calculated data","index","33","Calculated data","1000 $","41921","Calculated data","1000 $","15077","Calculated data","index","30","Calculated data"
"1996 [1996]","Meat, cattle [867]","Ireland [104]","index","105","Calculated data","index","45","Calculated data","1000 $","2029050","Calculated data","1000 $","871066","Calculated data","index","47","Calculated data","index","30","Calculated data","index","62","Calculated data","1000 $","32938","Calculated data","1000 $","69857","Calculated data","index","19","Calculated data"
"1996 [1996]","Meat, chicken [1058]","Hungary [97]","index","56","Calculated data","index","91","Calculated data","1000 $","310341","Calculated data","1000 $","510948","Calculated data","index","51","Calculated data","index","2","Calculated data","index","44","Calculated data","1000 $","1255","Calculated data","1000 $","25944","Calculated data","index","1","Calculated data"
"1996 [1996]","Meat, chicken [1058]","Ireland [104]","index","42","Calculated data","index","129","Calculated data","1000 $","40329","Calculated data","1000 $","127981","Calculated data","index","55","Calculated data","index","15","Calculated data","index","73","Calculated data","1000 $","51094","Calculated data","1000 $","256409","Calculated data","index","11","Calculated data"
"1996 [1996]","Meat, pig [1035]","Hungary [97]","index","76","Calculated data","index","81","Calculated data","1000 $","282622","Calculated data","1000 $","299261","Calculated data","index","62","Calculated data","index","10","Calculated data","index","68","Calculated data","1000 $","25987","Calculated data","1000 $","182124","Calculated data","index","7","Calculated data"
"1996 [1996]","Meat, pig [1035]","Ireland [104]","index","44","Calculated data","index","105","Calculated data","1000 $","203183","Calculated data","1000 $","489248","Calculated data","index","47","Calculated data","index","29","Calculated data","index","100","Calculated data","1000 $","35895","Calculated data","1000 $","124635","Calculated data","index","29","Calculated data"
"1996 [1996]","Meat, sheep [977]","Hungary [97]","index","211","Calculated data","index","76","Calculated data","1000 $","2978","Calculated data","1000 $","1162","Calculated data","index","174","Calculated data","index","29","Calculated data","index","36","Calculated data","1000 $","463","Calculated data","1000 $","593","Calculated data","index","11","Calculated data"
"1996 [1996]","Meat, sheep [977]","Ireland [104]","index","135","Calculated data","index","60","Calculated data","1000 $","366619","Calculated data","1000 $","162963","Calculated data","index","81","Calculated data","index","19","Calculated data","index","52","Calculated data","1000 $","4577","Calculated data","1000 $","12490","Calculated data","index","10","Calculated data"
