Domain Code,Domain,Area Code (FAO),Area,Element Code,Element,Item Code,Item,Year Code,Year,Months Code,Months,Unit,Value,Flag,Flag Description
"PP","Producer Prices","97","Hungary","5539","Producer Price Index (2014-2016 = 100)","867","Meat, cattle","1995","1995","7021","Annual value","","38","Im","FAO data based on imputation methodology"
"PP","Producer Prices","97","Hungary","5539","Producer Price Index (2014-2016 = 100)","1058","Meat, chicken","1995","1995","7021","Annual value","","37","Im","FAO data based on imputation methodology"
"PP","Producer Prices","97","Hungary","5539","Producer Price Index (2014-2016 = 100)","1035","Meat, pig","1995","1995","7021","Annual value","","48","Im","FAO data based on imputation methodology"
"PP","Producer Prices","97","Hungary","5539","Producer Price Index (2014-2016 = 100)","977","Meat, sheep","1995","1995","7021","Annual value","","33","Im","FAO data based on imputation methodology"
"PP","Producer Prices","97","Hungary","5539","Producer Price Index (2014-2016 = 100)","867","Meat, cattle","1996","1996","7021","Annual value","","39","Im","FAO data based on imputation methodology"
"PP","Producer Prices","97","Hungary","5539","Producer Price Index (2014-2016 = 100)","1058","Meat, chicken","1996","1996","7021","Annual value","","48","Im","FAO data based on imputation methodology"
"PP","Producer Prices","97","Hungary","5539","Producer Price Index (2014-2016 = 100)","1035","Meat, pig","1996","1996","7021","Annual value","","49","Im","FAO data based on imputation methodology"
"PP","Producer Prices","97","Hungary","5539","Producer Price Index (2014-2016 = 100)","977","Meat, sheep","1996","1996","7021","Annual value","","41","Im","FAO data based on imputation methodology"
"PP","Producer Prices","97","Hungary","5539","Producer Price Index (2014-2016 = 100)","867","Meat, cattle","1997","1997","7021","Annual value","","39","Im","FAO data based on imputation methodology"
"PP","Producer Prices","97","Hungary","5539","Producer Price Index (2014-2016 = 100)","1058","Meat, chicken","1997","1997","7021","Annual value","","56","Im","FAO data based on imputation methodology"
"PP","Producer Prices","97","Hungary","5539","Producer Price Index (2014-2016 = 100)","1035","Meat, pig","1997","1997","7021","Annual value","","59","Im","FAO data based on imputation methodology"
"PP","Producer Prices","97","Hungary","5539","Producer Price Index (2014-2016 = 100)","977","Meat, sheep","1997","1997","7021","Annual value","","58","Im","FAO data based on imputation methodology"
"PP","Producer Prices","97","Hungary","5539","Producer Price Index (2014-2016 = 100)","867","Meat, cattle","1998","1998","7021","Annual value","","49","Im","FAO data based on imputation methodology"
"PP","Producer Prices","97","Hungary","5539","Producer Price Index (2014-2016 = 100)","1058","Meat, chicken","1998","1998","7021","Annual value","","57","Im","FAO data based on imputation methodology"
"PP","Producer Prices","97","Hungary","5539","Producer Price Index (2014-2016 = 100)","1035","Meat, pig","1998","1998","7021","Annual value","","61","Im","FAO data based on imputation methodology"
"PP","Producer Prices","97","Hungary","5539","Producer Price Index (2014-2016 = 100)","977","Meat, sheep","1998","1998","7021","Annual value","","57","Im","FAO data based on imputation methodology"
"PP","Producer Prices","97","Hungary","5539","Producer Price Index (2014-2016 = 100)","867","Meat, cattle","1999","1999","7021","Annual value","","47","Im","FAO data based on imputation methodology"
