Domain Code,Domain,Area Code (FAO),Area,Element Code,Element,Item Code (FAO),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"QCL","Crops and livestock products","97","Hungary","5111","Stocks","866","Cattle","1995","1995","Head","910000","","Official data"
"QCL","Crops and livestock products","97","Hungary","5111","Stocks","866","Cattle","1996","1996","Head","928000","","Official data"
"QCL","Crops and livestock products","97","Hungary","5111","Stocks","866","Cattle","1997","1997","Head","909000","","Official data"
"QCL","Crops and livestock products","97","Hungary","5111","Stocks","866","Cattle","1998","1998","Head","871000","","Official data"
"QCL","Crops and livestock products","97","Hungary","5111","Stocks","866","Cattle","1999","1999","Head","873000","","Official data"
"QCL","Crops and livestock products","97","Hungary","5111","Stocks","866","Cattle","2000","2000","Head","857000","","Official data"
"QCL","Crops and livestock products","97","Hungary","5111","Stocks","866","Cattle","2001","2001","Head","805000","","Official data"
"QCL","Crops and livestock products","97","Hungary","5111","Stocks","866","Cattle","2002","2002","Head","783000","","Official data"
"QCL","Crops and livestock products","97","Hungary","5111","Stocks","866","Cattle","2003","2003","Head","770000","","Official data"
"QCL","Crops and livestock products","97","Hungary","5111","Stocks","866","Cattle","2004","2004","Head","739000","","Official data"
"QCL","Crops and livestock products","97","Hungary","5111","Stocks","866","Cattle","2005","2005","Head","723000","","Official data"
"QCL","Crops and livestock products","97","Hungary","5111","Stocks","866","Cattle","2006","2006","Head","708000","","Official data"
"QCL","Crops and livestock products","97","Hungary","5111","Stocks","866","Cattle","2007","2007","Head","702000","","Official data"
"QCL","Crops and livestock products","97","Hungary","5111","Stocks","866","Cattle","2008","2008","Head","705000","","Official data"
"QCL","Crops and livestock products","97","Hungary","5111","Stocks","866","Cattle","2009","2009","Head","701000","","Official data"
"QCL","Crops and livestock products","97","Hungary","5111","Stocks","866","Cattle","2010","2010","Head","700000","","Official data"
"QCL","Crops and livestock products","97","Hungary","5111","Stocks","866","Cattle","2011","2011","Head","682000","","Official data"
"QCL","Crops and livestock products","97","Hungary","5111","Stocks","866","Cattle","2012","2012","Head","697000","","Official data"
"QCL","Crops and livestock products","97","Hungary","5111","Stocks","866","Cattle","2013","2013","Head","760000","","Official data"
"QCL","Crops and livestock products","97","Hungary","5111","Stocks","866","Cattle","2014","2014","Head","782000","","Official data"
"QCL","Crops and livestock products","97","Hungary","5111","Stocks","866","Cattle","2015","2015","Head","802000","","Official data"
